Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,3.0,Core CPI (MoM) (Dec),0.30%,0.30%,0.30%,2023-01-12 13:30:00
USD,3.0,Core CPI (MoM) (Jan),0.40%,0.40%,0.40%,2023-02-14 13:30:00
USD,3.0,Core CPI (MoM) (Feb),0.50%,0.40%,0.40%,2023-03-14 12:30:00
USD,3.0,Core CPI (MoM) (Mar),0.40%,0.40%,0.50%,2023-04-12 12:30:00
USD,3.0,Core CPI (MoM) (Apr),0.40%,0.40%,0.40%,2023-05-10 12:30:00
USD,3.0,Core CPI (MoM) (May),0.40%,0.40%,0.40%,2023-06-13 12:30:00
USD,3.0,Core CPI (MoM) (Jun),0.20%,0.30%,0.40%,2023-07-12 12:30:00
USD,3.0,Core CPI (MoM) (Jul),0.20%,0.20%,0.20%,2023-08-10 12:30:00
USD,3.0,Core CPI (MoM) (Aug),0.30%,0.20%,0.20%,2023-09-13 12:30:00
USD,3.0,Core CPI (MoM) (Sep),0.30%,0.30%,0.30%,2023-10-12 12:30:00
USD,3.0,Core CPI (MoM) (Oct),0.20%,0.30%,0.30%,2023-11-14 13:30:00
USD,3.0,Core CPI (MoM) (Nov),0.30%,0.30%,0.20%,2023-12-12 13:30:00
USD,3.0,Core CPI (MoM) (Dec),0.30%,0.30%,0.30%,2024-01-11 13:30:00
USD,3.0,Core CPI (MoM) (Jan),0.40%,0.30%,0.30%,2024-02-13 13:30:00
USD,3.0,Core CPI (MoM) (Feb),0.40%,0.30%,0.40%,2024-03-12 12:30:00
USD,3.0,Core CPI (MoM) (Mar),0.40%,0.30%,0.40%,2024-04-10 12:30:00
USD,3.0,Core CPI (MoM) (Apr),0.30%,0.30%,0.40%,2024-05-15 12:30:00
